Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,Particle_count,Particle_weight_g,Weight_dry_sand_g,Beach_Zone
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,20,5,25,mesoplastics,1,0.100,1051.4,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,21,5,25,mesoplastics,0,0.000,1256.8,high_tide_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,22,5,25,mesoplastics,0,0.000,1346.5,high_tide_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,23,5,25,mesoplastics,0,0.000,1245.2,intertidal
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,1,1,5,microplastics,301,0.233,1333.3,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,2,1,5,microplastics,283,0.201,1317.5,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,3,1,5,microplastics,71,0.061,1366.4,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,4,1,5,microplastics,103,0.120,1333.5,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,5,1,5,microplastics,410,0.277,1346.1,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,6,1,5,microplastics,64,0.140,1437.9,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,7,1,5,microplastics,125,0.140,1373.2,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,8,1,5,microplastics,222,0.415,1348.9,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,9,1,5,microplastics,270,0.634,1371.4,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,10,1,5,microplastics,61,0.095,1469.3,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,11,1,5,microplastics,26,0.089,1433.4,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,12,1,5,microplastics,50,0.270,1443.3,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,13,1,5,microplastics,17,0.094,1514.2,storm_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,14,1,5,microplastics,15,0.087,1463.1,storm_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,15,1,5,microplastics,152,0.537,1396.4,storm_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,16,1,5,microplastics,7,0.035,1403.4,supra_littoral
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,17,1,5,microplastics,2,0.001,1343.4,supra_littoral
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,18,1,5,microplastics,1,0.000,1426.5,supra_littoral
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,19,1,5,microplastics,4,0.008,1387.5,supra_littoral
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,20,1,5,microplastics,16,0.054,1300.7,high_tide_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,21,1,5,microplastics,29,0.752,1380.7,high_tide_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,22,1,5,microplastics,1,0.006,1354.4,intertidal
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,23,1,5,microplastics,2,0.003,1367.6,intertidal
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,1,1,5,microplastics,671,0.392,1421.4,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,2,1,5,microplastics,79,0.053,1537.2,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,3,1,5,microplastics,85,0.062,1458.4,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,4,1,5,microplastics,64,0.058,1327.0,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,5,1,5,microplastics,393,0.261,1284.6,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,6,1,5,microplastics,97,0.077,1376.4,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,7,1,5,microplastics,65,0.082,1460.1,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,8,1,5,microplastics,185,0.248,1372.5,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,9,1,5,microplastics,366,0.801,1313.5,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,10,1,5,microplastics,81,0.087,1402.5,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,11,1,5,microplastics,31,0.033,1508.9,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,12,1,5,microplastics,29,0.213,1502.8,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,13,1,5,microplastics,25,0.177,1546.8,storm_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,14,1,5,microplastics,36,0.117,1475.7,storm_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,15,1,5,microplastics,29,0.103,1505.3,storm_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,16,1,5,microplastics,3,0.002,1386.9,supra_littoral
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,17,1,5,microplastics,1,0.001,1424.1,supra_littoral
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,18,1,5,microplastics,1,0.003,1292.9,supra_littoral
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,19,1,5,microplastics,1,0.002,1375.7,supra_littoral
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,20,1,5,microplastics,6,0.029,1326.7,high_tide_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,21,1,5,microplastics,24,0.041,1036.1,high_tide_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,22,1,5,microplastics,0,0.000,1047.6,intertidal
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,23,1,5,microplastics,2,0.011,1195.7,intertidal
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,1,1,5,microplastics,616,0.352,1320.3,dune
