"mpID","Continent","Subdivison","Country","System","Waterbody","Zone Area","Tidal Zone","Test Area","Sample Time","Sediment Sample Method","Sediment Depth (cm)","Extract Sediment Wt","Extract Method","Extract Chemical","Extract Oxidizer","No. of Extracts","Inspection","mp range (µm)","mp/kg dw","MP Unit","Dominant Shapes","Dominant Size","Colors","Polymers","N","MP Stat","Notes","Data Obtained From","Abbrev. Reference","DOI"
"1227","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","33500","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Prince Edward Dock-x","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1228","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","15533","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Silt Canal-y","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1229","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","36733","microplastic/kg sediment dry wt.","(N/R)","<300 micron","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Concord Cranes-z","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1230","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","11333","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-River 1-aa","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1216","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","14133","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Mudflat 3-l","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1225","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","12067","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Congella Basin-v","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1058","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S04","2018 Nov","Core","8-10 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","172.1","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polystyrene, polyvinyl chloride, polypropylene","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S04","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1070","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S03","2018 Nov","Core","0-2 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","415.8","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polystyrene, polyethylene terephthalate, polypropylene","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S03","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1060","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S04","2018 Nov","Core","4-6 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","262.3","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene terephthalate, polystyrene","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S04","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1057","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S04","2018 Nov","Core","10-12 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","114.8","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polystyrene, polyethylene terephthalate, polyethylene","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S04","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1068","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S03","2018 Nov","Core","4-6 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","301","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polystyrene, polyethylene terephthalate, polyurethane","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S03","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1067","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S03","2018 Nov","Core","6-8 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","96.9","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polystyrene, polyethylene terephthalate","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S03","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1066","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S03","2018 Nov","Core","8-10 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","140.3","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polystyrene, polyurethane, polyethylene","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S03","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1065","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S03","2018 Nov","Core","10-12 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","119.9","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polystyrene","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S03","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1064","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S03","2018 Nov","Core","12-14 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","224.5","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polystyrene, polypropylene","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S03","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1063","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S03","2018 Nov","Core","14-16 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","122.4","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, polyethylene terephthalate","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S03","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1062","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S04","2018 Nov","Core","0-2 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","1393.4","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polystyrene, polyethylene terephthalate, polyurethane","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S04","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1061","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S04","2018 Nov","Core","2-4 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","582","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene terephthalate, polypropylene","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S04","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1069","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S03","2018 Nov","Core","2-4 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","303.6","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polystyrene, polypropylene, polyester-polyamide-rayon-acrylic","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S03","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
"1056","Asia","","China","Marine","South China Sea","Nearshore","Subtidal","S04","2018 Nov","Core","12-14 cm","(N/R) dry, freeze","1-density separated, 2-centrifuged, 3-density separated","sodium chloride, sodium iodide (1.2, 1.74 g/ml)","(none)","2x","Visual inspection & Raman","99999-5000","155.7","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polystyrene, polyethylene terephthalate, polyethylene","1","Single","MP shapes and minimum detection size N/R","interp_graph; Figure S-2-S04","Chen et al. 2020. Forty-year pollution history ...","https://dx.doi.org/10.7185/geochemlet.2012"
