Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,fragment,foamed_plastic,pellet,foil,fiber,fishing_line,cigarette_butt,rope,rubber,fabric,unclear
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,18,1,5,microplastics,7,2,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,19,1,5,microplastics,5,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,20,1,5,microplastics,1,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,21,1,5,microplastics,1,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,22,1,5,microplastics,1,0,1,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,23,1,5,microplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,24,1,5,microplastics,13,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,25,1,5,microplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,1,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,2,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,3,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,4,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,5,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,6,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,7,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,8,5,25,mesoplastics,1,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,9,5,25,mesoplastics,0,2,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,10,5,25,mesoplastics,0,2,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,11,5,25,mesoplastics,3,0,0,0,0,0,0,0,0,0,0
