sample_id,Continent,Country,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,Size_class,Dominant_Size,dominant_color,source,environment_type,location,concentration_level,color_display
DOER_124,Asia,China,Estuarine,Tsing Yi,Coastal,Harbor/Port,Rambler Channel,2015.0,unknown,186.0,unknown,(N/R),unknown,DOER Database,Estuary,"Rambler Channel, China",Medium,unknown
DOER_136,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,Northeast of Hong Kong Island,2016.0,unknown,88.0,unknown,(N/R),unknown,DOER Database,Estuary,"Northeast of Hong Kong Island, China",Low,unknown
DOER_15,Europe,Netherlands,Estuarine,Rhine Estuary,Coastal,Subtidal,Rhine Estuary,2013.0,unknown,3305.0,unknown,300-5000 micron,unknown,DOER Database,Estuary,"Rhine Estuary, Netherlands",High,unknown
DOER_959,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Boca Ciega Bay,2017.0,unknown,3800.0,unknown,(N/R),unknown,DOER Database,Estuary,"Boca Ciega Bay, United States",High,unknown
DOER_960,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Egmont Key,2017.0,unknown,2000.0,unknown,(N/R),unknown,DOER Database,Estuary,"Egmont Key, United States",High,unknown
DOER_961,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Lower Tampa Bay,2017.0,unknown,1100.0,unknown,(N/R),unknown,DOER Database,Estuary,"Lower Tampa Bay, United States",High,unknown
DOER_962,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Mid Tampa Bay,2017.0,unknown,300.0,unknown,(N/R),unknown,DOER Database,Estuary,"Mid Tampa Bay, United States",Medium,unknown
DOER_963,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Mid Tampa Bay,2017.0,unknown,400.0,unknown,(N/R),unknown,DOER Database,Estuary,"Mid Tampa Bay, United States",Medium,unknown
DOER_964,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Old Tampa Bay,2017.0,unknown,1800.0,unknown,(N/R),unknown,DOER Database,Estuary,"Old Tampa Bay, United States",High,unknown
DOER_965,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Hillsborough Bay,2017.0,unknown,600.0,unknown,(N/R),unknown,DOER Database,Estuary,"Hillsborough Bay, United States",Medium,unknown
DOER_967,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Alafia R. Mouth,2017.0,unknown,7200.0,unknown,(N/R),unknown,DOER Database,Estuary,"Alafia R. Mouth, United States",High,unknown
DOER_966,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Ybor Channel,2017.0,unknown,7900.0,unknown,(N/R),unknown,DOER Database,Estuary,"Ybor Channel, United States",High,unknown
DOER_594,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,4366.0,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",High,unknown
