sample_id,Continent,Country,region,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,log_concentration,Size_class,Standardized_Shapes,Dominant_Size,dominant_color,source,environment_type,location,concentration_level
DOER_564,Asia,China,East Asia,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,74.0,1.8750612633917,unknown,"fiber, foil, fragment",(N/R),unknown,DOER Database,Estuary,"Liaohe estuary, China",Low
DOER_566,Asia,China,East Asia,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,112.0,2.0530784434834195,unknown,"fiber, foil, fragment",(N/R),unknown,DOER Database,Estuary,"Liaohe estuary, China",Medium
DOER_565,Asia,China,East Asia,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,153.0,2.187520720836463,unknown,"fiber, foil, fragment",(N/R),unknown,DOER Database,Estuary,"Liaohe estuary, China",Medium
DOER_11,Europe,United Kingdom,Europe,Estuarine,English Channel,Coastal,Subtidal,"near Plymouth, UK",,,31.0,1.505149978319906,unknown,"fiber, fragment",(N/R),unknown,DOER Database,Estuary,"near Plymouth, UK, United Kingdom",Low
DOER_15,Europe,Netherlands,Europe,Estuarine,Rhine Estuary,Coastal,Subtidal,Rhine Estuary,2013.0,,3305.0,3.519302849235429,unknown,fiber,300-5000 micron,unknown,DOER Database,Estuary,"Rhine Estuary, Netherlands",High
DOER_16,Europe,Italy,Europe,Estuarine,Lagoon of Venice,Coastal,Subtidal,Palude dell Rosa,,,2175.0,3.3376588910261424,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"Palude dell Rosa, Italy",High
DOER_1234,Europe,Italy,Europe,Estuarine,Lagoon of Venice,Coastal,Subtidal,Sacca Sessola,,,1353.0,3.1316186643491255,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"Sacca Sessola, Italy",High
DOER_1236,Europe,Italy,Europe,Estuarine,Lagoon of Venice,Coastal,Subtidal,Lago di Rivolta,,,1476.0,3.1693804953119495,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"Lago di Rivolta, Italy",High
DOER_1233,Europe,Italy,Europe,Estuarine,Lagoon of Venice,Coastal,Subtidal,S. Giorgio in Alga,,,1908.0,3.280805928393667,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"S. Giorgio in Alga, Italy",High
DOER_1232,Europe,Italy,Europe,Estuarine,Lagoon of Venice,Coastal,Subtidal,Fondamente Nuove,,,1501.0,3.17666993266815,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"Fondamente Nuove, Italy",High
DOER_1235,Europe,Italy,Europe,Estuarine,Lagoon of Venice,Coastal,Subtidal,Mussel Farm,,,1237.0,3.0927206446840994,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"Mussel Farm, Italy",High
DOER_1237,Europe,Italy,Europe,Estuarine,Lagoon of Venice,Coastal,Subtidal,Valle di Bon,,,1856.0,3.2688119037397803,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"Valle di Bon, Italy",High
DOER_1238,Europe,Italy,Europe,Estuarine,Lagoon of Venice,Coastal,Subtidal,Ca' Roman,,,672.0,2.828015064223977,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"Ca' Roman, Italy",Medium
DOER_1239,Europe,Italy,Europe,Estuarine,Lagoon of Venice,Coastal,Subtidal,Chioggia,,,1394.0,3.144574207609616,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"Chioggia, Italy",High
DOER_1231,Europe,Italy,Europe,Estuarine,Lagoon of Venice,Coastal,Subtidal,S. Erasmo,,,880.0,2.9449759084120477,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"S. Erasmo, Italy",Medium
DOER_959,North America,United States,North America,Estuarine,Tampa Bay,Coastal,Subtidal,Boca Ciega Bay,,,3800.0,3.5798978696031036,unknown,fragment,(N/R),unknown,DOER Database,Estuary,"Boca Ciega Bay, United States",High
